,text,polarization
2,"The SEC on Monday issued a $50,000 fine to Texas A&M for violating the league’s policy against fans entering the playing area following the Aggies’ 74-72 seven-overtime victory over LSU on Saturday night.In addition, the league continues to look into the bizarre incident involving LSU staffers Kevin Faulk and Steve Kragthorpe, Texas A&M assistant coach Dameyune Craig and a man who has been identified as Cole Fisher, an Aggies student manager and the nephew of head coach Jimbo Fisher. According to multiple reports, Kragthorpe and Craig engaged in a verbal altercation, which led to Cole Fisher allegedly punching Kragthorpe and Faulk punching Cole Fisher.Here’s part of the SEC statement:“Texas A&M will be assessed a fine for violation of the Southeastern Conference access to competition area policy, due to fans entering the field following its football game against Louisiana State University on November 24, the Conference has announced.“Also, the Conference remains in contact with the participating institutions related the reported postgame altercation between football staff members and has re-emphasized the expectations for sportsmanship before, during and after SEC athletics contests.“Texas A&M will incur a fine of $50,000 for its first offense under the Conference’s current policy prohibiting fan access to the competition area.”The fine money will be deposited into the SEC Post-Graduate Scholarship Fund, according to the conference statement.",0.0
3,"Fox News Flash top headlines for Oct. 30 are here. Check out what's clicking on Foxnews.comFor a seventh straight game, the road team emerged victorious in the 2019 World Series.The Washington Nationals claimed the first world championship in franchise history, defeating the Houston Astros, 6-2.CLICK HERE FOR MORE MLB POSTSEASON COVERAGE
      Washington Nationals' Howie Kendrick hits a two-run home run during the seventh inning of Game 7 of the baseball World Series against the Houston Astros Wednesday, Oct. 30, 2019, in Houston. (Associated Press)
      Washington won the first two games in Houston, then Houston returned the favor by taking three straight in D.C. With Wednesday night’s victory, the Nats took two more in Texas. HOUSTON ASTROS STAR ALEX BREGMAN DISCLOSES DEATH OF GRANDFATHER AHEAD OF WORLD SERIES GAME 7Houston starter Zack Greinke rolled through the first six innings, allowing just one hit and walking one. But then Washington’s Anthony Rendon smacked a solo homer in the seventh, and Howie Kendrick greeted reliever Will Harris with a two-run shot, giving the Nats a 3-2 lead.In the eighth, Juan Soto's single scored Adam Eaton, giving the Nats a 4-2 lead.Eaton then knocked in two runs with a single in the top of the ninth, giving Washington a 6-2 lead.
      Houston Astros' Carlos Correa reacts to his RBI single during the fifth inning of Game 7 of the baseball World Series against the Washington Nationals Wednesday, Oct. 30, 2019, in Houston. (Associated Press)
      CLICK HERE TO GET THE FOX NEWS APPThe Astros had gotten off to a 2-0 start, scoring once in the bottom of the second on Yuli Gurriel's home run off Washington starter Max Scherzer, and again in the bottom of the fifth when Carlos Correa's two-out RBI single eluded diving Washington third baseman Rendon.The Nationals franchise moved to Washington in 2005 after starting as the Montreal Expos in 1969. Prior to the Nationals' arrival in D.C., the nation's capital had gone without Major League Baseball for more than 30 years.The first version of the Washington Senators became the Minnesota Twins in 1961 after winning three American League pennants and one World Series title. The new version of the Senators, started in 1961, became the Texas Rangers in 1972. That club never won a title in D.C.The Associated Press contributed to this story.",0.0
4,"COLUMBIA, S.C. (AP) — Clemson has parted ways with men's basketball assistant coach Steve Smith after his voice was heard on a federal wiretap involving defendant Christian Dawkins on the ongoing trial into college corruption.The video from 2017 included Smith commenting about why Clemson's football team is so successful and Dawkins telling Smith he could help get cash to the family of ex-Duke star Zion Williamson if he had chosen to attend Clemson.University officials said Friday that Clemson would not renew Smith's contract that expired last month.Clemson basketball coach Brad Brownell said he supports the decision to let his seven-year assistant go.Smith was scheduled to have his contract renewed at a board of trustees meeting last week until he was heard in court talking with Dawkins and an undercover FBI agent about several things, including why Clemson's national championship football program is so successful.Smith said in the July 2017 video ""if you do it and use resources at Clemson, like you can really keep everything tight.""Later in the video, Smith said, ""It's a small college town. You can come to a game one night, after the game, you seed a dude out there in a nice looking suit, you like, 'wait a minute now.'""Testimony from financial adviser Marty Blazer indicated he believed that meant boosters would give players improper benefits.Dawkins and amateur basketball coach, Merl Code Jr., are charged with paying bribes to assistant basketball coaches to help secure NBA-bound players as customers. Ex-assistant coaches at Arizona, Auburn, Oklahoma State and Southern Cal have pleaded guilty to bribery conspiracy and await sentencing.Clemson started a review of its football and men's basketball programs after the wiretap was played in court.""We feel very strongly that those were unfortunate comments and we are doing our due diligence, but there is no reason to believe, and nothing that we've been able to find at this point in time, that implicates the football program in any of that,"" Clemson athletic director Dan Radakovich said.Radakovich met with Brownell and Smith this week.Clemson football coach Dabo Swinney told The State newspaper of Columbia at a booster club event that Brownell had reached out to apologize for Smith's comments.Swinney was disappointed with the characterization and is proud of how he runs his program.""We've always been a program committed to doing things right way and we always will be,"" Swinney said.___More AP college basketball: https://apnews.com/Collegebasketball and https://twitter.com/AP_Top25",0.0
8,"Fox 6 News sports broadcast Rick Karle today announced he will be leaving the station in early December after working for the station for 30 years.“After nearly three decades, I’m here to tell you that come early December, I’ll be leaving this TV station with memories that just continue to go on and on and on,” Karle said in a video posted to his twitter account Tuesday afternoon.In a post on his Facebook account, Karle said his position, the Sports Director, is being eliminated. He had worked as the Sports Director for WBRC since 1989.“While it's time for me to move on as the Sports Director's position is being eliminated, this TV station will remain great,” he said in the Facebook post.In the video, Karle recounted some of the sporting he events he reported on the past 30 years. He said he’s covered four Super Bowls, seven National Championship games, 30 Iron Bowls, 60 races at Talladega Superspeedway, 24 Emmy Awards and around 455 shows worth of sideline reporting.
He listed more than a dozen names of athletes, coaches and other sports figures whom he worked with and reported on during his 30 years at WBRC.“Those are the relationships that kept me here and made my job so enjoyable,” he said.Karle didn’t say what he was doing next or where he was going, but he said he’s definitely not retiring.“You might see me on TV again, radio, real estate, professional golfer, stand-up comic, Walmart greeter, whatever I do, I’m going to work just as hard at that job as I have here over the last three decades,” he said.He said fans and viewers can still reach him on Facebook or Twitter or through his email address at rkarle@wbrc.com.",0.0
9,"Masked men grabbed Italian soccer player Ignazio Barbagallo from the middle of a match and whisked him away in a helicopter, but the whole thing was a hoax to mark his final game before retirement.Masked men grabbed Italian soccer player Ignazio Barbagallo -- who was on the pitch playing in the final match of his career last week --  and tossed him in a helicopter, a stunning scene that appeared to those in attendance like a brazen kidnapping.But Barbagallo, who played for Citta Di Viagrande of the Sicily League, turned out never to have been in harm's way. One of the masked men left a sign on the field to indicate the whole ordeal was a hoax.SURVIVOR OF CHAPECOENSE AIRPLANE CRASH DIES OF HEART ATTACK AFTER COLLAPSING WHILE PLAYING SOCCERThe sign read, “SERVICIO ELIMINAZIONE GIOCATORI FINITI,” which means “Elimination for finished players,” according to The Sun.The stunt didn’t appear to put league officials in a joking mood, however.FOX Sports Italia reported Citta Di Viagrande was fined more than $220 for the incident. The team was also suspended from playing until June.CLICK HERE TO GET THE FOX NEWS APPBarbagallo, who is known for his pranks, was also suspended until July for leaving the pitch without permission, orchestrating the helicopter landing without permission and causing a dangerous situation, according to FOX Sports Italia. Since he's retiring, though, that penalty doesn't appear to hurt him too badly.",0.0
10,"As fantasy owners, we hate these moments. It’s the moments where we have to take a hard look at our early draft picks, the ones that have been causing us more harm than good. We have to ask ourselves, “Should I cut bait? Can I continue waiting?” It’s a tough exercise.Fantasy baseball expert Andy Behrens can help.Andy first begins with Joey Votto. A recent hot streak has raised Votto’s batting average … to just .242. Not what we’ve come to expect from the Reds staple. Unfortunately, and most glaringly, there’s just been a total lack of power from him the last season and a half, and if he’s not delivering on either average or home runs, there just isn’t enough there to keep him rostered.[Join or create a 2019 Yahoo Fantasy Football league for free today]Andy wastes no time with Chris Archer: You should drop him. He hasn’t shown anything in a Pirates uniform this season, and his ratios are pretty much unplayable.While Andy wasn’t high on Jose Ramirez coming into the season, he understands that owners who invested a high pick on him will want to keep him, but with that said, Andy thinks the only reason worth keeping him are the stolen bases he could provide. Everything else looks to be in clear decline.",0.0
11,"Johnny Manziel was released by the CFL’s Montreal Alouettes on Wednesday and has been effectively banned from the league, so what’s next for the former Texas A&M Heisman Trophy winner?Darren Rovell of Action Sports is reporting that Manziel has been in contact with the Alliance of American Football:
Manziel, 26, not only played at Texas A&M but attended high school in Kerrville, Texas, which is some 65 miles from San Antonio. So it would be a virtual homecoming for one of the most exciting and controversial quarterbacks in recent memory.UPDATE: USA Today is reporting that AAF chairman Tom Dundon has confirmed that the league has offered Manziel an opportunity work out for its teams. Though San Antonio owns Manziel’s territorial rights, all eight teams would be present to watch him work out.The circumstances of Manziel’s release by the Alouettes are still murky, with the only thing we know for sure that he violated his contract in some way. He was said to have agreed to “certain conditions” (likely related to his history of drug and alcohol abuse) in order to sign a CFL contract prior to the 2018 season.Via Twitter on Wednesday, Manziel took the high road regarding his past, and also hinted at his future:
One other possibility for Manziel is the XFL, which re-launches in 2020. The latest incarnation of that league will have teams in Houston and Dallas, the latter led by former Oklahoma coach Bob Stoops.",0.0
12,"Buffalo Bills quarterback AJ McCarron said the game was ""the most fun I've ever had"" on a football field -- and he won a state championship at St. Paul's and three BCS national-championships at Alabama.On Thursday night in the Bills' preseason finale, McCarron rallied Buffalo from a 24-point deficit in the fourth quarter with three touchdown passes and a TD run in a 28-27 victory over the Chicago Bears.McCarron and Buffalo's offense came out of the two-minute warning facing a fourth-and-22 at the Bills 4-yard line and took the lead when McCarron threw a 6-yard touchdown pass to tight end Keith Towbridge with 13 seconds to play.""Had a feeling, just one of those feelings you can't explain,"" McCarron said about the last drive. ""I looked at the guys -- (rookie guard) Wyatt (Teller)'s who I remember the most, just because of the look on his face. It was like he'd never heard it before -- but I looked at the group and told them, 'Watch this. It's going to be legendary.' First, I said, 'Watch this. We're going to go down and win. You're going to remember this for a long time,' and I said, 'This is going to be legendary for us,' for our group in the final game together. It's part of the business, not knowing who'll be here tomorrow.""I'm just super proud of the guys. It was just awesome to battle with them. Probably the most fun I've ever had.""NFL teams can have as many as 90 players on their rosters during the preseason. But the Bills will have to reduce that number to 53 by 3 p.m. CDT Saturday to meet the regular-season limit.Buffalo sidelined most of its projected starters for the preseason finale. McCarron got together with the players who were going to play against the Bears in a meeting on Wednesday night.""Some of the guys that played today, it's no secret, me, anybody, we might not be here tomorrow or whenever they make the final cuts,"" McCarron said after Thursday night's game. ""I just wanted everybody to know that they were special to me. We've been through a long process to get here, and I wanted to take that upon myself to show them my gratitude to them and what it means to me for them to be out here every day working hard.""McCarron started Buffalo's second preseason game on Aug. 17. But he suffered a shoulder injury -- initially reported as a broken collarbone -- in the first quarter and missed the Aug. 26 game against the Cincinnati Bengals.It took McCarron and the Bills' offense a while to get going against the Bears. Chicago carried a 27-3 lead into the final period, and the Bears ran back an interception for one of their touchdowns.""First half, being a little rusty from being out a week, from not practicing, I couldn't get things to go our way,"" McCarron said. ""And we just had some unlucky bounces.""But it was just awesome. We're blessed to be able to play this game for a living. It's a game that we get paid handsomely at and it's fun and I love being part of this team and I loved being out there being able to battle with the guys. It was awesome.""McCarron entered training camp competing with Nathan Peterman and Josh Allen for the Bills' No. 1 QB job. With McCarron out, Allen, the seventh player picked in April's draft, started the third preseason game. Peterman started the preseason opener.The Bills' decision to let McCarron play the entire preseason finale while Peterman and Allen sat seemed parsed in every possible way by Buffalo followers. But after the game, Bills coach Sean McDermott said he hadn't decided who will be Buffalo's starting quarterback in its regular-season opener against the Baltimore Ravens on Sept. 9, and he said McCarron ""absolutely"" remained in the competition.""I'm enjoying this game,"" McCarron said when asked about the team's quarterback situation. ""I understand y'all want to talk about the QB competition, but I'm enjoying this.""One of the reasons, McCarron said, was the collection of second- and third-teamers that pulled off the comeback.""It's just a good group of guys,"" McCarron said. ""It's awesome to be a part of them. It's fun to play the game with guys that just love playing, love being part of a group, love being out there with you. It makes you feel good as a quarterback, as a person, and my thing was I didn't want to let them down.""Mark Inabinett is a sports reporter for Alabama Media Group. Follow him on Twitter @AMarkG1.",0.0
13,"NCAA Football: Michigan at Ohio StateWhat is the story behind Ohio State's Buckeye nickname and mascot? (Photo, USA Sports)BIRMINGHAM, Alabama -- Our state has one university with a Crimson Tide nickname alongside an elephant mascot and another college with both an eagle and a tiger.So, we may not be the best fan base to ask this question, but:Just what exactly is a buckeye and why is it Ohio State's mascot?In preparation for Monday night's national championship game between the Ohio State Buckeyes and the Oregon Ducks (more on that in another story), it seems appropriate to clear the confusion up.According to folklore, the Buckeye resembles the eye of a deer and carrying one brings good luck. It has been the official Ohio State nickname since 1950, the website says, but it had been in common use for many years before that.The website also clarifies the use of that strange leaf on Ohio State players' helmets: ""A round white decal, about the size of a quarter, with a green depiction of a buckeye leaf is applied to Ohio State football helmets for big plays and consistency on the field. This tradition started in 1967 when Woody Hayes and longtime trainer Ernie Biggs changed the look of the Ohio State uniforms.""The nickname is also used for the team's mascot, Brutus Buckeye, who is (basically) a giant nut.To make sure I got it right, I asked my dear Ohio friend Sue Combs for some clarification about the nickname and mascot.Her mother, a 1949 graduate of Ohio State who passed away in November, often explained to her the importance of the buckeye.""She hated it when neighbors in Tennessee used to ask about the Buckeye. They would tease about it being a worthless nut,"" Combs said. ""She used to say you might not be able to 'eat' a Buckeye, but it is said to bring about lucky powers to the person who carries one.""And Brutus Buckeye?""Brutus is full of vim and vigor and and luck,"" she said.",0.0
14,"The number of underclassmen who enter the NFL draft only to go unselected is troubling to many around college football, Nick Saban included.This year, 149 underclassmen entered the draft, but 44 went unselected. With no mechanism in place to allow them to return to school (such as exists in college basketball), their football careers might well be over.But should college football adopt a similar policy to college basketball? Is it even feasible?Saban was asked that very question when he met with the media prior to his annual keynote address for the Team Focus fundraiser in Mobile on Wednesday night. He seemed skeptical it would work, for several reasons:For one thing, basketball has only 13 scholarship players, rather than 85 in football.For another, the two sports’ offseason and recruiting calendars are completely different. Basketball players can enter the draft and return to their teams (if undrafted) without so much as missing a class or an offseason workout. And most basketball signings take place in November, before the season begins.In football, national signing day takes place in either December or February. The NFL early entry deadline is in mid-January. Should a player enter the draft, but go undrafted and choose to return to school, he might have already been replaced on the roster.“If we’re going to have this many people go out for the draft, that’s obviously a solution that some people should look at,” Saban said. “If that were the case in football, how many guys would go out for the draft? You could kiss spring practice goodbye. You wouldn’t know what kind of team … or who would be on your team for the next year. How would you know how many guys you could recruit if you don’t know how many guys are coming back to the team? I think when you have smaller numbers (as in basketball), that’s a little easier to manage.”10Nick Saban and Team FocusSaban also raised concerns about the number of underclassmen who entered the draft, even those who went in the later rounds. In many cases, they’re not putting themselves in the best situation to succeed long-term even if they are drafted in the sixth or seventh round, he said.“… Every coach I know is all about the players,” Saban said. “They want what is best for the players. When you have 140-some guys going out for the draft and 49 don’t get drafted, and a significant number get drafted in the last couple of rounds from that group, which means they probably won’t be on the squad in three years, you’ve got a lot of people with failed careers and no degrees. And that’s not really a combination for them and their success in the future.”It was another banner year for Alabama in the NFL draft, with 10 players selected, three in the first round. The Crimson Tide now has 29 first-round picks during Saban’s tenure, a significantly higher total than the number of game losses the program has suffered in that time (21).As always, however, Saban remains process-oriented. Getting drafted is only the beginning of success in football, he said.“I’m really happy for our players,” Saban said. “I know it’s their dream to play at the next level. We’re very proud of the fact that we’ve had 32 guys drafted in the last three years, 22 in the last two years, and 10 this year. We wish those guys well. We want every guy in our program to get drafted as high as possible. We have some guys who have some great opportunities and we wish them well.“I think the one thing that sometimes players don’t look at — they think about getting drafted, getting drafted, getting drafted. But that’s just the starting point. The No. 1 thing to be focused on is, what do I need to do to have a great career and play for as long as possible and be the best player I can be? Things will always work out if you can do that.”Here are Saban’s thoughts on some other topics:• His surgically repaired hip: “It’s great, really good. I always say they don’t make them like they used to, and there’s not many of us left. We’ve had some good medical care, great rehab, and I certainly appreciate all the thoughts and prayers, and that so many people have talked to me about that. We’re thankful for that.”• Alabama’s Academic Progress Rate score, which was second-highest in the SEC behind only Vanderbilt: “I think that’s one of the goals of the program is for our guys to have a chance to be more successful as people. And a big part of that is that they put a lot of value themselves into graduating from school. I’m very proud that we’re one of the top teams in the conference in graduation rate and overall APR and all those types of things. We have a lot of people who do a really good job that are part of our team to make that happen.”• NCAA rule changes, including shortening overtime and tweaking targeting fouls: “I think they’re all good rules. Most of them are all about player safety. I think that’s something that’s got to be really important to all of us in the game right now. I think they will be really positive.”• The recovery of injured cornerback Jalyn Armour-Davis: “Jalyn’s got some medical issues now that he’s going to have to work through over the summer, but he’s certainly an outstanding athlete, a conscientious guy. He missed most of last year due to injury and was not able to participate in spring practice due to injury, but hopefully we can get him healthy and he can develop from there.”• Team Focus, a mentoring program founded by former college football coach and TV analyst Mike Gottfried: “I think that what Mike has done is really unique, the leadership he’s shown and the example that he’s set for so many of us to try to do something and help young people. For him to try and create a family situation for some of these guys to look up to and have a chance to be successful in life, I think is really special.”• On what might be on the agenda at this month’s SEC spring meetings: “I think probably everybody is concerned about roster management, with all the transfers, graduate transfers. Guys go out early for the draft, so it’s very difficult for some of us to manage the 85 (scholarships). Maybe we need to talk about some of the things we can to do help with those problems.”• What he meant when he said his team lost the ‘Alabama factor’ vs. Clemson: “I think that we’ve always tried to have a team that played with a lot of discipline, very responsible and accountable and do their job at a very high level on a consistent basis. Everybody’s got to put the team first. It’s my responsibility, but the way we finished the season, I wondered about some of those things. Whether it was people worried about outcomes or losing our humility because we’d won so many games — I don’t know. We played against a really good team and got exposed, and we didn’t play our best. You always want to play your best in big games. As a coach, I’m disappointed in the job I did to help our players do that.”On why more 5-star recruits seems to succeed at Alabama than at other schools: “I don’t know. I think what it indicates is that we do a really good job of developing players. We recruit a lot of really good players and we have a lot of good players. I think the key to the drill is, how do we get those guys to play as well as possible, for their benefit, for our benefit, for their future. We try to create value with our players in personal development, academic development, career development, and see if they can develop careers as football players. So we kind of look at it from a holistic standpoint, and I think guys become more responsible and accountable when you develop a culture of accountability around them. Being responsible for your own self-determination is what being a professional is. Someone is always going to define expectations from a standpoint of what you’re supposed to do and when you’re supposed to it, whether you’re playing for the New York Giants of working for Apple Computers. And we’re going to have guys do both. So we want to teach some things that are going to help them be successful when it comes to some of the values that really create opportunities for them.”",0.0
