,url,text,polarization
450,https://www.at5.nl/artikelen/207733/groenlinks-leider-klaver-biomassa-achterhaald-idee-waar-kan-nieuwe-centrales-snel-uitfaseren,"GroenLinks-fractievoorzitter Jesse Klaver wil stoppen met biomassa, maar dat is volgens hem niet altijd makkelijk. Dat zei hij vanavond in een gesprek met oud-GroenLinks-stadsdeelcommissielid Fenna Swart in de studio van het televisieprogramma Nieuwsuur. Swart stapte in 2019 uit de stadsdeelcommissie Oost na een conflict met haar partij over de bouw van de biomassacentrale in Diemen. Ze zei tegen Klaver dat de rest van de GroenLinks-fractie tegen haar zei dat ze op haar handen moest zitten en er niet over moest praten.  Zonder warmte ""Ik ben blij dat je vertelt waar het is begonnen"", zei Klaver. ""Het hele idee dat biomassa de oplossing is, dat is een achterhaald idee."" Wel zei hij dat stoppen niet in een keer gaat. ""Het gaat vaak over warmte. Anders komen in sommige steden huishoudens zonder warmte te zitten."" Of het ook om Amsterdam ging wilde hij niet zeggen. ""Ik bedoelde verschillende plekken. Dat betekent, een volgende regering moet de komende tijd echt kijken op welke plekken het echt nodig is en op welke plekken niet. (...) Als het wordt gebruikt voor warmteopwekking, dan kunnen we niet op alle plekken daar direct mee stoppen."" Doorgeslagen Volgens Swart, die nu actie voert tegen biomassa met het comite Schone Lucht, is de Amsterdamse GroenLinks-wethouder Marieke van Doorninck ""helemaal doorgeslagen"", want naast de nog te openen biomassacentrale in Diemen heeft het gemeentelijke Afval Energie Bedrijf (AEB) in West er al een gebouwd. Ze vroeg Klaver om alle GroenLinks-wethouders op te roepen te stoppen met biomassa. Klaver zei vervolgens dat zijn partij de huidige biomassacentrales ""zo snel mogelijk"" wil uitfaseren. Van Doorninck heeft ook van oppositiepartijen in de gemeenteraad kritiek gekregen op de biomassacentrale van het AEB. Ze gaf vorig jaar aan dat er ook wat haar betreft geen biomassacentrales meer bij moeten komen, maar zei ook dat de gemeente geen sluiting kan afdwingen en dat de contracten al getekend zijn.",1
832,https://www.destentor.nl/deventer/zelfs-het-rode-dorp-in-moskou-aan-de-ijssel-laat-de-pvda-vallen~a9b65c5d/,"Het Rode Dorp in Deventer dankt haar naam aan de rode daken van de huizen in de wijk. De bewoners stemden ook jarenlang rood: de PvdA was er steevast de grootste. Maar samen met de rest van ‘Moskou aan de IJssel’ heeft de volkswijk van Deventer de partij massaal laten vallen. ,,Het is nu allemaal PVV’’, zegt Gerda Pieters, die de socialisten nog wel trouw is gebleven. ,,Als je hier zegt dat Wilders niks is, heb je ruzie.” Landelijk deed de PvdA het niet slechter dan de vorige verkiezingen, maar in Deventer scoorden de sociaaldemocraten slechter dan ooit tevoren. In 2012 was de partij met 34,1 procent van de stemmen nog de grootste partij zoals het al jaren was. Niet voor niets kreeg Deventer de bijnaam ‘Moskou aan de IJssel'. Nu rest slechts 7 procent en zijn vier partijen (VVD, D66, PVV en GroenLinks) groter. Een paar dagen na de verkiezingen is het stil op straat in het Rode Dorp. Een enkeling laat zijn hondje uit, een scootmobiel verandert op straat van eigenaar, maar verder zitten de mensen vooral binnen. Ook Jopie Voortman, een bekend gezicht in de wijk die veel organiseert in buurthuis Het Enkhuis, zit wat ziekjes thuis, in de Sanatoriumdwarsstraat. ,,Geen idee waarom iedereen weggaat bij de PvdA. Ik spreek niemand meer, het buurthuis is dicht en vanwege corona blijft iedereen thuis.’’ Onvrede Tim Plette (20), met zijn hippie-uiterlijk een beetje een vreemde in de bijt in de wijk, snapt wel dat veel van zijn buurtgenoten op de PVV stemmen. ,,Dat gebeurt overal waar er onvrede heerst. Ik geloof niet dat het helpt om op Wilders of Baudet te stemmen, maar ik weet dat het gebeurt. Hier ook.’’ Zelf stemde Plette, die in de Enkstraat woont, op de Piratenpartij. ,,Ik twijfelde, maar niet over de PVV. Dat zou ’m sowieso niet worden. Maar ik begrijp wel dat veel mensen dat wél doen.’’",1
323,https://www.rtlnieuws.nl/nieuws/politiek/artikel/5026706/kamer-debatteert-met-staatssecretaris-over-marinierskazerne,"De Tweede Kamer buigt zich donderdagochtend over de geannuleerde verhuizing van de mariniers naar Zeeland. De Kamer wil verantwoordelijk staatssecretaris Barbara Visser spreken omdat sommige partijen door de gebroken belofte aan Zeeland mogelijk het vertrouwen in haar zijn verloren. De 'vertrouwensvraag' ligt volgens onder meer de SGP op tafel nu de marinierskazerne niet zoals beloofd naar Vlissingen, maar naar het Gelderse Nieuw Milligen verhuist. Kamerlid Chris Stoffer wijst erop dat maandenlang met alternatieve vestigingsplaatsen voor de nieuwe kazerne 'blijkt te zijn onderhandeld, zonder dat de Zeeuwen daarvan wisten'. ""Dan heb je het echt over: kunnen we de overheid vertrouwen. Zulke grote woorden gebruikt de SGP niet zomaar, zegt onder meer regeringspartij CDA. Daarom moet Visser (VVD) snel naar de Kamer komen, vinden ook andere partijen. Vrijwel de hele Kamer wilde dat zij nog voor het voorjaarsreces dat volgende week begint verantwoording komt afleggen. Politiek verslaggever Fons Lambie noemt het afblazen van de verhuizing van de marinierskazerne 'een politiek hoofdpijndossier voor staatssecretaris Visser'. ""Toen Visser half januari de ministerraad probeerde te overtuigen, brak een kift uit in het kabinet. Het besluit was niet goed voorbereid en Visser moet eerst een plan voor compensatie uitwerken. Toen het plan vervolgens uitlekte, kwam natuurlijk kritiek uit Zeeland"", zegt Lambie. ""Visser hield lang vol dat er 'nog geen officieel besluit' was genomen. De Zeeuwen voelden zich voor de gek gehouden, ook omdat Defensie al langer zocht naar alternatieven. Ruzie met de regio, boze bestuurders en irritatie bij coalitiepartijen over hoe Visser dit heeft aangepakt. Visser kan dan ook veel kritiek verwachten uit de Tweede Kamer.""",1
300,vk,"Alleen de muziek hield stand tegen Erdogan. Column Alleen de muziek hield stand tegen Erdogan. Column T ijdens de lokale verkiezingen van vorige week was ik in Istanbul. De verkiezingen naderden met de dag en de koude, harde wind bleef de mens, de meeuw en de veerpont teisteren. Maar er was meer aan de hand dan deze uitzonderlijke kou. Het was de Nederlandse documentairemaker bij mij die opeens wist wat het was. 'De muziek is veel beter tegenwoordig', stelde hij vast. Ik ging beter luisteren naar de muziek in de straten van Istanbul. Tijdens een ritje van het Europese deel naar het Aziatische deel op de veerpont schonken twee jongemannen ons muziek die van de kwaliteit was waar je als luisteraar zelfs bij professionele muzikanten om moet bedelen. Toen wist ik het: de metropool die sinds 25 jaar op een oor na gevild was door de islamisten, de stad die bezweek onder de immense gevolgen van de massamigratie van miljoenen plattelanders, de stad waar cultuur, kunst, humor, bomen en democratie leken te zijn gezwicht voor religieus despotisme, ademde nog steeds. Het was de muziek die de mond-op-mondbeademing deed. Op de teller af was de stad 25 jaar in handen van Erdogan en zijn club; een zwerm mannen en vrouwen met de missie om een plundercultuur met een islamsausje over het prachtige Istanbul te leggen. Van de nieuwe leiders dienden zwangere vrouwen zich te schamen voor het feit dat ze seks hadden gehad en werd hen door partijgenoten van Erdogan aangeraden in de laatste maanden van hun zwangerschap de straat niet op te gaan. Aan de top van de politiek werden ze niet alleen schatrijk, maar hadden ze ook tijd om schande te spreken over vrouwen die in het openbaar hardop lachten. De president zelf kleineerde een vrouwelijke demonstrant door te",0
165,parool,"Rapcarrière vanuit de cel Rapcarrière vanuit de cel De gedetineerde rapper behaalde de status gouden plaat met zijn nummer Ride or Die. De veroordeelde crimineel Jason L., ook bekend als rapper Djaga Djaga, heeft een hit gescoord vanuit de gevangenis. Op radiozender FunX is hij op vrolijke toon gefeliciteerd. Ride or Die bracht Djaga Djaga in januari uit vanuit de cel. Inmiddels is het nummer zes miljoen keer gestreamd op Spotify, waarmee het de status van gouden plaat heeft behaald. Fernando Halman, radio-dj bij de Amsterdamse tak van hiphop- en urbanzender FunX (deel van de NPO), feliciteerde de gedetineerde gisteren met zijn succes. ""Hij zit vast, hij zit momenteel een gevangenisstraf uit van veertien jaar,"" zegt Halman. ""Maar het houdt hem niet tegen: hij gaat gewoon lekker door met muziek brengen. ( ) Het is ongelooflijk hoe powerful muziek is."" Djaga Djaga bedankt in een geluidsopname voor de goede wensen en zegt dat zijn succes een onbeschrijfelijk gevoel geeft. ""Het is mijn eerste gouden plaat, en niet zomaar een gouden plaat. Ik weet wel zeker dat ik de eerste Nederlandse artiest ben die vanuit de gevangenis goud gaat."" Hij vertelt dat zijn medegedetineerden allemaal blij voor hem zijn. Een woordvoerder van het ministerie van Justitie zegt in De Telegraaf dat het interview zonder toestemming is gegeven, terwijl contact met de media altijd moet worden goedgekeurd. Er wordt nu onderzoek gedaan naar het voorval. ""Als daar aanleiding toe is, wordt de gedetineerde passend gesanctioneerd."" Jason L. is tot veertien jaar cel veroordeeld voor zijn betrokkenheid bij de liquidatie van crimineel Abderrahim 'Appie' Belhadj op 9 mei 2016 in de flat Kikkenstein in Amsterdam-Zuidoost. Zijn lange celstraf weerhoudt hem er niet van zijn rapcarrière voort te zetten, die hij heel jong begon als frontman van de rapformatie Green Gang.",0
246,https://www.volkskrant.nl/nieuws-achtergrond/druk-toeslagenaffaire-wordt-te-groot-pvda-leider-asscher-stapt-op~b45e6397/,"Lodewijk Asscher vertrekt als lijsttrekker van de PvdA. Door de discussie over zijn rol in de toeslagenaffaire zag hij zichzelf niet meer in staat om de partij een goede verkiezingsuitslag te bezorgen. Nummer drie op de lijst, Kamerlid Lilianne Ploumen, geldt als de belangrijkste kandidaat om hem op te volgen. Ploumen neemt in elk geval de rol van fractievoorzitter in de Tweede Kamer over van Asscher. Het PvdA-bestuur overlegt nog over de manier waarop een nieuwe lijsttrekker wordt aangewezen. Een andere kandidaat die genoemd wordt als potentiële partijleider is Kamervoorzitter Khadija Arib, de nummer twee op de lijst. Asscher, die in quarantaine zit door een coronabesmetting van een van zijn kinderen, maakte zijn vertrek bekend in een videoboodschap op sociale media. ‘Ik hoop vurig dat op 17 maart een sterke PvdA wordt gekozen’, zei Asscher. ‘De discussie over mijn rol maakt het niet mogelijk om daar voor te zorgen.’ Asschers vertrek komt een dag voordat het PvdA-partijcongres hem officieel zou aanwijzen als lijsttrekker. Het congres is inmiddels uitgesteld, zo heeft de PvdA bekend gemaakt. Een deel van de leden wilde Asscher via een motie dwingen af te treden, maar het is niet duidelijk of daar veel steun voor was. Er werd tot eind woensdagmiddag gestemd over de motie. De PvdA reageerde niet op verzoeken om de uitslag van de stemming bekend te maken. Zelfs medestanders erkenden de afgelopen dagen dat Asscher in het hart geraakt is door toeslagenaffaire, die begon in de vorige kabinetsperiode toen de PvdA’er vicepremier en minister van Sociale Zaken was. Asscher benadrukte in zijn videoboodschap dat hij er nooit van op de hoogte was dat de Belastingdienst ‘een onrechtmatige jacht had geopend op onschuldige mensen’. Toch wordt het hem ook aangerekend dat hij niet meer kon doen voor de gedupeerden die behoren tot de groep waar de PvdA van oudsher voor opkomt: werkende mensen met een relatief laag inkomen",1
7,trouw,"Ontsnappingsroute vliegveld Lelystad nog vol hobbels Ontsnappingsroute vliegveld Lelystad nog vol hobbels UITSTEL - Nieuwe plannen voor vliegveld Lelystad overtuigen de kritische coalitiepartijen nog steeds niet. De tijd dringt. Een muizengaatje had minister Cora van Nieuwenhuizen (infrastructuur en waterstaat) nodig om een oplossing te vinden voor de verdeling van vluchten tussen Schiphol en Lelystad. Maar niets wijst erop dat zij de ontsnappingsroute heeft gevonden die zowel Brussel als de coalitiepartijen in Den Haag tevredenstelt. Op enkele details na komt Van Nieuwenhuizen namelijk met dezelfde plannen als in januari. Die werden destijds door de Tweede Kamer met veel kritiek ontvangen. Onder druk van de Europese Commissie wil de minister dat er op de nieuwe luchthaven Lelystad ruimte komt voor 'autonome groei': vluchten die niet nu al op Schiphol landen dus. Coalitiepartijen D66 en ChristenUnie willen dat onder geen beding, voor hen mag Lelystad alleen dienen als 'overloopluchthaven' van Schiphol. In hoofdlijnen behelst de nieuwe 'verkeersverdelingsregel' dat de eerste 25.000 starts en landingen op Lelystad worden overgenomen van Schiphol. Vanaf 2030 is er op de luchthaven vervolgens ruimte voor vluchten naar andere bestemmingen en van nieuwe maatschappijen. Risicovluchten In de plannen zijn enkele toezeggingen opgenomen, bedoeld om de Tweede Kamer over de streep te trekken. Zo komt er een anti-misbruikregeling om te voorkomen dat vliegmaatschappijen gaan schuiven met start- en landingsrechten tussen luchthavens. Ook doet de minister toezeggingen over de grenscontroles. Sommige risicovluchten, bijvoorbeeld de vluchten die vaak worden gebruikt voor drugssmokkel, kunnen alleen op Schiphol afgehandeld worden. Dit zal ook in de toekomst zo zijn. Voor Van Nieuwenhuizen is haast geboden. Vliegveld Lelystad moet in april volgend jaar opengaan, een deadline die al twee keer is verschoven. Maar door de onenigheid over de vluchten van en naar het vliegveld, rijzen er steeds meer twijfels of april 2020 wel haalbaar is. Van",1
635,https://nos.nl/artikel/2356000-slob-krabbelt-terug-verklaringen-die-homoseksuele-identiteit-afwijzen-gaan-te-ver.html,"Verklaringen die van ouders van leerlingen vragen om homoseksuele identiteit af te wijzen, gaan te ver. Dat zegt minister Slob van Onderwijs na de ophef over uitspraken die hij gisteren deed in een debat. De minister zegt vandaag dat goed nagegaan moet worden wat er precies staat in de verklaringen van reformatorische scholen. ""En als ze in strijd zijn met een veilig klimaat op school, dan moeten ze op een goede manier worden aangepast."" Slob kreeg veel kritiek na een Kamerdebat gisteren. Daarin ging het onder meer over reformatorische scholen die ouders van leerlingen vragen om een verklaring te tekenen waarin een homoseksuele leefwijze wordt afgewezen. Scholen hebben het recht om zo'n verklaring te vragen, zei de ChristenUnie-minister in het debat. Dat komt volgens hem voort uit de vrijheid van onderwijs en de vrijheid van godsdienst. Tegelijkertijd zijn scholen verplicht om voor alle leerlingen te zorgen voor een veilig klimaat, zei hij ook. Aan het eind van het debat kwam een Kamermeerderheid met een motie om korte metten te maken met dit soort verklaringen. De minister zei toen dat dat niet kon, omdat het strijdig is met de grondwet. Vandaag sprak Slob over ""indien nodig de wetgeving aanpassen"". Coalitie not amused ""Minister Slob is door de pomp"", zegt politiek verslaggever Ron Fresen. ""Hij noemt dit zelf een verduidelijking van zijn standpunt, maar de minister is gewoon teruggefloten door de rest van het kabinet.""De coronaministerraad vanochtend is vooral over deze kwestie gegaan, zegt Fresen. ""Dit is een groter punt geweest dan het coronabeleid. De drie andere regeringspartijen VVD, CDA en D66 hebben dit geagendeerd omdat ze op zijn zachtst gezegd not amused waren.""",1
717,https://nos.nl/artikel/2320923-d66-komt-met-wetsvoorstel-voor-hulp-bij-voltooid-leven.html,"D66-Kamerlid Pia Dijkstra wil binnen een paar weken een wetsvoorstel indienen voor hulp aan ouderen die vinden dat hun leven voltooid is. Volgens haar biedt het onderzoek van de commissie-Van Wijngaarden, dat vanmorgen is gepresenteerd, daar voldoende aanknopingspunten voor. De commissie concludeerde dat er ruim tienduizend 55-plussers zijn die niet ernstig ziek zijn, maar toch langere tijd een doodswens hebben. Dijkstra schrijft op Twitter dat de doelgroep van haar wetsvoorstel ouder is: het gaat haar om 75-plussers, die ""met zorgvuldige hulp waardig kunnen sterven"". Maar dat is volgens haar nog altijd een substantiële groep. Het voorstel voor hulp bij 'voltooid leven' leidt tot verdeeldheid in de regeringscoalitie: de VVD twijfelt, het CDA en de ChristenUnie zijn pertinent tegen. De ChristenUnie laat weten dat het beeld vandaag wordt doorgeprikt dat het gaat om een groep ""volstrekt autonome burgers die na een geslaagd leven vooral graag regie hebben over hun eigen dood"". ""Het ter beschikking stellen van een zelfdodingspil zou het meest cynische antwoord zijn op de zorgen die mensen met een doodswens hebben. Dan geven we hen op, in plaats van dat we er voor hen willen zijn"", zegt ChristenUnie-Kamerlid Dik-Faber. Het CDA staat aan de kant van de ChristenUnie. Kamerlid Van der Molen zegt dat het rapport van de onderzoekscommissie bevestigt dat de groep ouderen zonder ernstige ziekte, maar met een doodswens, heel klein is. Volgens hem hebben mensen allerlei klachten waardoor ze het niet meer zien zitten, maar vinden ze niet per se dat hun leven voltooid is. ""Wat het CDA betreft zou je dit rapport verkeerd lezen als er nu een voltooid leven-wet moet komen. We moeten kijken hoe we hun situatie kunnen verbeteren."" 'Geen homogene groep' De grootste regeringspartij, de VVD, worstelt met het vraagstuk. ""Tien jaar geleden begon de discussie over voltooid leven met het burgerinitiatief Uit Vrije Wil: 116.000 mensen wilden, wanneer zij hun leven voltooid achtten, waardig sterven bij wet mogelijk maken.",1
165,https://www.telegraaf.nl/nieuws/154352604/groen-links-wil-deel-van-a10-vervangen-door-woningen,"De A10-West in Amsterdam moet wijken voor woningen, vindt GroenLinks. Volgens de politieke partij is het deel van de snelweg, dat dwars door de hoofdstad gaat, meer geschikt voor duizenden nieuwe woningen en groen. Naast het plan om woningen op de plek van de A10-West te bouwen, wil de partij Rotterdam The Hague Airport sluiten en volbouwen met huizen en de Kennedylaan in Eindhoven ondertunnelen, om zo meer ruimte te creëren voor betaalbare woningen. De fractie van GroenLinks in Amsterdam dient maandag een voorstel in bij de gemeente om te onderzoeken hoe er woningen gebouwd kunnen worden op de plek waar nu nog een brede, doorgaande strook asfalt ligt. De functie die de weg nu heeft kan volgens de partij prima worden overgenomen door andere wegen. Doorgaand verkeer op deze snelweg zorgt voor luchtvervuiling, geluidsoverlast en een brute scheiding tussen verschillende stadsdelen in Amsterdam. Terwijl veel verkeer het asfalt niet eens gebruikt om in Amsterdam te komen, maar als doorgaande weg naar een andere bestemming”, aldus GroenLinks Amsterdam.",0
