,Unnamed: 0,url,text,polarization
0,1.0,https://www.nu.nl/politiek/6114477/groenlinks-fractievoorzitter-van-zeist-bevestigt-nepprofielen-en-stapt-op.html,"Ronald Camstra, de inmiddels vertrokken fractievoorzitter van GroenLinks in de gemeenteraad van Zeist, heeft donderdag toegegeven een aantal nepaccounts op sociale media te beheren. Eerder op de dag stapte hij al op, maar hij gaf toen nog niet toe dat de profielen, die online de ideeën van GroenLinks steunden, van zijn hand zijn.

Camstra werd door inwoners van Zeist beschuldigd van het beheren van een aantal nepprofielen. Hij was sinds 2008 actief in de gemeenteraad en sinds 2017 fractievoorzitter.

De oud-fractievoorzitter zegt in een verklaring ""een domme en naïeve fout te hebben gemaakt"" en was actief onder meerdere pseudoniemen. Via die profielen ging hij online met zichzelf in gesprek.

Camstra erkende donderdag dat hij onder het pseudoniem Noortje van Breukelen een column schreef en daarop positieve reacties kreeg.

""Door een andere naam te gebruiken kon ik verhalen schrijven zonder dat die direct aan mijn publieke profiel werden gekoppeld. Ik voelde me daardoor vrijer om me te uiten, en ik kreeg ineens veel leuke reacties in plaats van de negativiteit die mijn eigen profiel her en der opriep. Daardoor werd ik overmoedig.""

""Ik besefte onvoldoende dat het niet eerlijk, niet oprecht en niet verstandig is om me achter andere namen te verschuilen"", aldus Camstra.",1
2,3.0,https://www.nu.nl/politiek/6114666/kabinet-akkoord-met-onderzoek-naar-nederlandse-hulp-aan-syrische-rebellen.html,"Een onafhankelijke commissie gaat onderzoek doen naar de Nederlandse hulp aan rebellengroepen in Syrië. Het demissionaire kabinet gaat deze wens van de Tweede Kamer uitvoeren, heeft minister Stef Blok (Buitenlandse Zaken) vrijdag laten weten. ""Het is aan de commissie om de duur en reikwijdte van het onderzoek te bepalen"", aldus de minister.De commissie krijgt toegang tot staatsgeheime informatie. Het kabinet verklaarde eerder niets te zien in een onafhankelijk onderzoek naar de steun.Nederland leverde tussen 2015 en 2018 materiële steun aan 22 'gematigde' rebellengroepen. Het ging niet om wapens, maar om zaken als pick-uptrucks, computers en uniformen. Uit onderzoek van Trouw en Nieuwsuur bleek later dat de steun ook terecht was gekomen bij jihadistische groepen die worden beschuldigd van mensenrechtenschendingen.",0
3,4.0,https://www.nu.nl/politiek/6114187/flinke-kritiek-kamer-op-de-jonge-na-ggd-lek-minister-erkent-fouten.html,"Demissionair minister van Volksgezondheid Hugo de Jonge heeft flinke kritiek te verduren gekregen voor zijn optreden na de datadiefstal bij de GGD. Oppositie en coalitie waren ontstemd over het gebrek aan kennis en urgentie bij de bewindsman, bleek woensdag tijdens een Kamerdebat. De Jonge beloofde beterschap. ""Was hij (De Jonge, red.) nou gewoon niet op de hoogte van de ernst van het probleem, of dacht hij met heel veel bravoure het probleem wel te kunnen bagatelliseren? Ik weet eerlijk gezegd niet wat erger is"", zei SP-Kamerlid Maarten Hijink. ""Het GGD-lek is geen incident, maar een structureel probleem"", vindt D66'er Kees Verhoeven. Attje Kuiken (PvdA) somde op wat er naast het GGD-lek nog meer niet goed gaat onder de verantwoordelijkheid van De Jonge. ""We hebben de mondmaskers gehad, we hebben het testen gehad, we hebben het trage vaccineren, we hebben het gegoochel met vaccinatiecijfers."" Kuiken vroeg zich hardop af ""of het deze minister niet over de schoenen loopt"". Wat de PvdA'er betreft worden er taken in het kabinet herverdeeld. De portefeuille van De Jonge werd onlangs al uitgekleed, zodat hij zich vooral op de coronabestrijding kan richten. Irritatie groeide na 'onzin' tijdens vragenuur Vorige week meldde RTL Nieuws na eigen onderzoek dat de privégegevens van miljoenen Nederlanders illegaal zijn verhandeld. Het gaat om informatie uit twee computersystemen van de GGD die worden gebruikt om coronatesten te registreren en voor het bron- en contactonderzoek. De Jonge wekte vooral wrevel met zijn antwoorden in de Kamer tijdens het vragenuur, een dag na de publicatie van het nieuws. ""Hij heeft onzin staan te verkondigen"", zei Farid Azarkan van DENK daarover. De Jonge: 'Dingen gezegd die ik anders had moeten zeggen' De bewindsman erkende woensdag dat zijn antwoorden van vorige week niet goed waren en wilde die rechtzetten. ""Ik heb een aantal dingen gezegd die ik anders had moeten zeggen"", aldus De Jonge.",1
5,6.0,https://www.nu.nl/politiek/6114115/demissionair-kabinet-draagt-salarisverhoging-zorg-over-aan-opvolgers.html,"Het demissionaire kabinet vindt het aan een volgend kabinet om werk te maken van een hoger salaris en betere arbeidsvoorwaarden voor zorgverleners. Daar zelf voorstellen voor doen, ""acht het kabinet niet verenigbaar met de demissionaire status"", schrijft minister Tamara van Ark (Medische Zorg) woensdag aan de Tweede Kamer (pdf). De oppositie roept sinds enkele maanden op tot meer waardering voor werknemers in de zorg. Lange tijd werden voorstellen daarvoor geblokkeerd door de coalitiepartijen. Na de val van het kabinet stemde een meerderheid van de Kamer voor een motie van de SP en de PvdA. Uitvoering van die motie zal dus nog wel even op zich laten wachten, blijkt uit de brief. ""Investeringen in structureel betere arbeidsvoorwaarden van zorgpersoneel vragen om fundamentele beleidskeuzes die aan een volgend kabinet zijn"", aldus Van Ark. SP-leider Lilian Marijnissen vindt het antwoord onacceptabel. ""Een meerderheid van de Tweede Kamer wil hogere salarissen in de zorg. Het demissionaire kabinet moet dit gewoon uitvoeren. Onze zorgverleners staan aan de vooravond van een derde golf en hebben lang genoeg gewacht"", twittert ze. GroenLinks-lijsttrekker Jesse Klaver stelt op Twitter dat het steeds pijnlijker wordt ""om te zien in welke bochten het kabinet zich blijft wringen om de lonen in de zorg maar niet te verhogen"". ""Een Kamermeerderheid wil dat zorgverleners een hoger salaris krijgen. Hier is het laatste woord nog niet over gezegd"", aldus Klaver.",1
6,7.0,https://www.nu.nl/politiek/6114112/tachtig-slachtoffers-van-toeslagenaffaire-doen-aangifte-tegen-premier-rutte.html,"Tachtig slachtoffers van de kinderopvangtoeslagaffaire hebben aangifte gedaan tegen demissionair premier Mark Rutte. Het gaat daarbij om drie ambtsmisdrijven, zegt hun advocaat Vasco Groeneveld woensdag. Vorige maand deed Groeneveld namens een groep gedupeerden al aangifte tegen vijf (oud-)bewindslieden. De raadsman vond het toen te vroeg om ook de minister-president in de aangifte te betrekken. ""Daarna is er nieuwe, belastende informatie bij gekomen over, zoals voormalig minister van Sociale Zaken Asscher het noemde, 'de onrechtmatige jacht door de Belastingdienst op duizenden gezinnen'"", aldus Groeneveld. Volgens Groeneveld heeft Rutte tijdens het Kamerdebat over de affaire op 19 januari gezegd dat het kabinet vanaf mei/juni 2019 wist hoe groot en omvangrijk de problematiek was. ""Dat betekent: vele duizenden gedupeerden. De premier erkende ook dat hij vanaf die tijd 'direct betrokken' was bij het dossier. Bij de parlementaire ondervragingscommissie bleef hij hier nog vaag over"", aldus de advocaat. ""Uit nieuw vrijgegeven stukken blijkt dat de premier sinds mei 2019 heeft meebeslist over de te nemen stappen. Toch is het illegale invorderen door de Belastingdienst doorgegaan tot november 2019 of langer. Ook was hij al in het najaar van 2018 op de hoogte van misstanden bij de afdeling Toeslagen. Hij werd toen voorbereid op lastige vragen van de pers."" Gedupeerden: Rutte was op de hoogte van schenden wet. Volgens de aangevers heeft Rutte beschikkingen laten bestaan terwijl hij wist dat de wet werd geschonden. Daarnaast heeft hij opzettelijk of door grove schuld nagelaten wetten uit te voeren, menen ze. ""Rutte heeft niet ingegrepen toen mijn cliënten ambtelijk werden opgejaagd en beroofd"", zegt Groeneveld. ""De schending van de rechtsorde door de overheid is ongekend in de moderne Nederlandse geschiedenis. Voor zulke ernstige gevallen heeft de wetgever ambtsmisdrijven in het Wetboek van Strafrecht opgenomen."" Aangifte tegen Rutte is aanvulling op eerdere aangifte. Groeneveld deed op 12 januari aangifte tegen de ministers Tamara van Ark (Medische Zorg), Wopke Hoekstra (Financiën) en Eric Wiebes (Economische Zaken). Daarnaast werden voormalig staatssecretaris van Financiën Menno Snel en oud-minister Lodewijk Asscher in die aangifte betrokken.",1
7,8.0,https://www.nu.nl/coronavirus/6113980/nog-geen-besluit-over-verlenging-avondklok-omt-om-nieuw-advies-gevraagd.html,"Het kabinet heeft nog geen besluit genomen over verlenging van de avondklok na woensdag 10 februari. Het gaat het Outbreak Management Team (OMT) om nieuw advies vragen over wat te doen met het maatregelenpakket. Dat heeft demissionair premier Mark Rutte dinsdagavond gezegd. Het advies van het OMT wordt eind deze week verwacht.""We willen haar liever niet verlengen"", zei Rutte over de avondklok. ""Maar daarover kan ik geen honderdprocentgarantie geven. We moeten daarvoor echt naar de cijfers kijken."" Behalve de basisscholen, die vanaf maandag weer open kunnen, blijft Nederland tot en met 2 maart in lockdown. Middelbare scholen blijven in ieder geval tot 1 maart dicht. Wel komt er voor winkels de mogelijkheid om bestellingen aan te nemen. Die kunnen vervolgens door klanten aan de deur worden opgehaald. Volgens Rutte bevindt Nederland zich momenteel in een ""spagaat"". Enerzijds daalt het aantal coronabesmettingen al een aantal weken op rij, maar anderzijds verspreidt de Britse, besmettelijkere, coronavirusvariant zich snel. Het RIVM schat in dat nu al twee derde van de besmettingen in Nederland de Britse variant betreft. Verdere versoepelingen moeten vanwege die snelle verspreiding ""met de hoogste voorzichtigheid"" worden bekeken. Derde golf komt 'onvermijdelijk op ons af'Volgens de minister-president komt de derde golf ""onvermijdelijk op ons af"". Wel ziet Rutte aan de aanpak van andere landen dat de Britse coronavirusvariant onder controle te houden is. Volgens RIVM-topvrouw Aura Timen lijkt het beeld van de dalende besmettingen momenteel ""rooskleurig"", maar is dit niet het moment ""om achterover te leunen en te denken: we zijn er"". Volgens haar ligt er ""nog een hele opgave voor ons"".",0
8,9.0,https://www.nu.nl/coronavirus/6113801/kabinet-zoekt-perspectief-met-grote-zorgen-over-levering-vaccins.html,"Terwijl het Australische Melbourne de deuren van de tennisstadions opent voor duizenden toeschouwers bij de Australian Open, zoekt Nederland nog steeds naar manieren om het coronavirus en verschillende mutaties onder controle te krijgen. Demissionair premier Mark Rutte en minister Hugo de Jonge (Volksgezondheid) zullen dinsdag tijdens een persconferentie de laatste inzichten delen. De besmettingscijfers dalen, maar blijven onverminderd ernstig. Basisscholen en de kinderopvang gaan open en winkels en horeca mogen de deuren openen voor afhaal, terwijl een deel van het OMT versoepelingen niet ziet zitten. ""Superstreng, maar ook ongelooflijk goed"", zo omschreef toptennisster Serena Williams de coronaregels in Australië onlangs. Door niet te mikken op de ziekenhuiscapaciteit, maar te kiezen voor een strategie om het aantal besmettingen naar nul te brengen, staan landen als Australië, Nieuw-Zeeland, Vietnam en Singapore er aanzienlijk beter voor. De situatie in Nederland is ""ronduit zorgelijk"", schrijft het OMT in zijn laatste advies. Uit onderzoek van het Australische Lowy Institutie blijkt dat Nederland op de lijst met 98 onderzochte landen onderaan bungelt wat betreft de corona-aanpak: 75e. Scholen open vanwege onduidelijke 'maatschappelijke afwegingen'. Het aantal besmettingen per dag neemt weliswaar af, maar de besmettelijkere Britste coronamutant rukt op. ""We zien in het algemeen wel een dalende lijn in de besmettingen, maar moeten tegelijkertijd vaststellen dat die daling toch nog niet in het tempo gaat waarop je zou hopen"", zei Rutte afgelopen vrijdag. Toch opent het kabinet per volgende week de basisscholen, de kinderopvang en de winkels voor afhaal. Het OMT waarschuwt ervoor dat de opening van de scholen zal leiden tot een toename van de druk op de zorg. Een aantal deskundigen vindt het risico op versoepelingen op dit moment zelfs te groot. Het is geen geheim dat de deskundigen het aantal besmettingen veel verder omlaag willen hebben om aan versoepelingen te kunnen denken.",0
9,10.0,https://www.nu.nl/politiek/6112647/ruime-kamermeerderheid-wil-homogenezingstherapie-strafbaar-stellen.html,"Een ruime Kamermeerderheid wil zogenoemde 'homogenezingstherapieën' strafbaar maken, meldt Kamerlid Vera Bergkamp (D66) op Twitter. Aanbieders beweren dat zij de seksuele oriëntatie van een persoon kunnen veranderen. Bergkamp diende de motie voor een wetswijziging samen met Nevin Özütok (GroenLinks), Zohair El Yassini (VVD) en Kirsten van den Hul (PvdA) in. In 2019 werd de Kamer ook opgeroepen om een soortgelijke wet aan te nemen, maar toen lagen de christelijke partijen, de PVV en Forum voor Democratie (FVD) dwars. Nederland telt zo'n vijftien organisaties of individuen die zogeheten conversietherapieën aanbieden. De therapie kan een vakantiekamp of workshop omvatten. Homoseksualiteit zou als probleem worden bestempeld en aanwezigen worden geïnstrueerd hoe zij dit probleem kunnen verhelpen, schrijft het AD. Volgens het dagblad zijn de organisaties gelieerd aan streng christelijke stromingen. Experts hebben de therapieën eerder al veroordeeld.Volgens deskundigen is er geen wetenschappelijke basis voor de werkzaamheid ervan. Daarnaast kan conversietherapie leiden tot depressie en zelfmoordneigingen. Duitsland besloot vorige zomer conversietherapieën voor minderjarigen te gaan verbieden. Bergkamp vertelt in gesprek met het AD dat in Nederland de wetswijziging moet wachten tot na de verkiezingen, omdat het huidige kabinet demissionair is.",1
10,11.0,https://www.nu.nl/politiek/6113078/kamer-steunt-aanvulling-steunpakket-vragen-over-mogelijke-bezuinigingen.html,"Het derde steunpakket van het kabinet waar 7,6 miljard euro extra voor wordt uitgetrokken kan op de goedkeuring rekenen van de Tweede Kamer. Het gaat met name om verruimingen van bestaande reddingsboeien en een soepeler regime om ervoor in aanmerking te komen. Dat bleek donderdag tijdens het Kamerdebat over de extra steun met demissionair ministers Bas van 't Wout (Economische Zaken), Wouter Koolmees (Sociale Zaken) en Wopke Hoekstra). Het derde steunpakket loopt tot en met juni van dit jaar. Omdat het kabinet een strengere lockdown heeft afgekondigd tot en met in ieder geval 9 februari om het coronavirus te bestrijden, wordt de noodsteun ook opgeschroefd. Het gaat vooral om een uitbreiding van bestaande regelingen zoals de loonsubsidie (NOW), tegemoetkoming vaste lasten (TVL) en hulp voor zzp'ers (Tozo). Er is dit keer extra aandacht voor startende ondernemers, die voorheen tussen wal en schip belandden wat coronasteun betreft. Het kabinet heeft tot nu toe voor alle steun, ook die voor het openbaar vervoer, zorg en cultuur, in totaal zo'n 60 miljard euro extra uitgetrokken. Tel je daar leningen, garanties en uitgestelde belastingen daarbij op, kom je op 75 miljard euro. Ter vergelijking: de begroting voor het ministerie van Onderwijs, Cultuur en Wetenschap is 40 miljard euro. Oppositie vroeg nogmaals om meer steun voor zzp'ers. De oppositie vroeg andermaal tevergeefs om een al eerdere doorgevoerde versobering voor de zzp-hulp te schrappen. De partijen hekelen de zogenoemde partnertoets, waarbij het inkomen van de partner wordt verrekend met de zzp-steun. Dit middel is al langer een doorn in het oog van veel oppositiepartijen. Onder andere de PVV, SP, GroenLinks, PvdA, DENK en 50 PLUS vinden het onrechtvaardig dat zelfstandigen op deze manier worden gekort in hun overheidssteun. Volgens het kabinet heeft het met de uitvoerbaarheid te maken. Gemeenten hebben laten weten het liefst geen wijzigingen door te willen voeren in de Tozo.",1
13,14.0,https://www.nu.nl/coronavirus/6103926/kamer-achter-avondklok-vanaf-zaterdag-binnenblijven-tussen-2100-en-430-uur.html,"Een meerderheid van de Tweede Kamer is donderdag akkoord gegaan met het voorstel van het kabinet om een avondklok door te voeren. Na een motie van D66 is de aanvangstijd verschoven van 20.30 naar 21.00 uur. De avondklok gaat zaterdagavond in. In de Tweede Kamer is urenlang gedebatteerd over de omstreden maatregel. Eerder stemde de Kamer in een motie nog tegen de invoering van de avondklok. Het demissionair kabinet meent dat de maatregel nu nodig is om de verdere verspreiding van het coronavirus en de besmettelijkere Britse mutatie een halt toe te roepen. Meerdere partijen toonden begrip voor de noodzaak om harder in te grijpen, al vroegen zij zich ook af of een latere aanvangstijd van de avondklok mogelijk was. Volgens demissionair premier Mark Rutte was er niet veel ruimte om nog te sleutelen aan die aanvangstijd. De oorspronkelijke bedoeling was de avondklok te laten gelden van 20.30 uur tot 4.30 uur. Dat is nu een half uur later geworden. ""Na die tijd neemt de effectiviteit van de maatregel enorm af"", aldus Rutte. D66 diende een motie in om de aanvangstijd een half uur op te schuiven, deze kreeg steun van VVD, CDA, ChristenUnie, SP, GroenLinks PvdA en 50PLUS. Kamer akkoord, maar forse kritiek blijft. Hoewel de Kamer instemt met een avondklok, is er ook forse kritiek van zowel de partijen die alsnog instemmen, als de partijen die tegen blijven. Geert Wilders (PVV) noemde de avondklok ""extreem"". ""We raken massaal onze vrijheid kwijt."" Hij wijst naar wat het kabinet zelf beter had kunnen doen om te voorkomen dat het zo ver heeft moeten komen.",1
