url,text,polarization
parool,"Maduro zet ambassadeur van Duitsland uit Maduro zet ambassadeur van Duitsland uit Venezuela zet de Duitse ambassadeur, Daniel Martin Kriener, het land uit. De regering van president Nicolás Maduro heeft hem tot ongewenst persoon verklaard. Het Venezolaanse ministerie van Buitenlandse Zaken zegt op zijn website dat Kriener zich heeft bemoeid met interne aangelegenheden. Kriener heeft 48 uur om het land te verlaten. Zonder verder in detail te treden beschuldigt Venezuela hem ervan de internationale diplomatieke normen te hebben overtreden. Kriener was met ambassadeurs en diplomaten van andere Europese landen maandag naar het vliegveld gegaan om oppositieleider Juan Guaidó te steunen. Onder hen was ook een Nederlandse diplomaat. De meeste westerse landen, waaronder Nederland en Duitsland, erkennen Guaidó als het wettige staatshoofd van Venezuela en steunen zijn plan om een overgangsregering te installeren voorafgaand aan vrije verkiezingen. Maduro zegt dat hij het slachtoffer is van een staatsgreep. Onwrikbare steun De Duitse minister van Buitenlandse Zaken Heiko Maas zei gisteren dat Duitsland en zijn Europese partners Guaidó zullen blijven steunen. ""Dit is een onbegrijpelijke beslissing, die de situatie laat escaleren. De Europese steun voor Juan Guaidó is onwrikbaar."" Maandag had de Duitse ambassade op haar Twitteraccount gezegd dat Kriener hoopte dat Guaidó's terugkeer 'een stap is in de richting van een vreedzaam en politiek proces om de Venezolaanse crisis te overwinnen'. Maduro noemde zijn tegenstanders dinsdag 'opportunisten en lafaards', maar sprak daarbij de naam van Guaidó niet uit. Voor zaterdag hebben beide rivalen demonstraties aangekondigd. In een toespraak in het parlement heeft Guaidó de uitzetting van de ambassadeur veroordeeld. ""Ze bedreigen een belangrijk Europees land dat humanitaire hulp verleent aan Venezuela."" In gesprek met het Duitse weekblad Der Spiegel roept hij Europa op meer financiële sancties af te kondigen tegen het regime van Maduro. Daarmee moet worden voorkomen dat de inkomsten van",1
vk,"Het is mooi geweest. Bert Wagendorp Het is mooi geweest. Bert Wagendorp BBC First zond vorige week de film Brexit: The Uncivil War van James Graham uit. Daarin speelt de geweldige Benedict Cumberbatch (Sherlock, Patrick Melrose) de rol van Dominic 'Dom' Cummings, volgens velen het geniale brein achter de Vote Leave-campagne die in 2016 leidde tot winst voor de brexiteers in het referendum over uittreding uit de Europese Unie. Dat is inmiddels drie jaar geleden en de Britten zijn nog steeds lid. Van Cummings is sindsdien weinig meer vernomen, hij leidt een teruggetrokken leven en mijdt de publiciteit als de pest. Dat is jammer, want het zou interessant zijn om te zien hoe hij tegen de huidige puinhoop aankijkt - hij heeft per slot van rekening stevig de hand gehad in het ontstaan ervan. Cummings etaleert in de film een diep dédain voor politici, dus vermoedelijk zal hij die ook verantwoordelijk houden voor de ontstane chaos. Wat uit Brexit: The Uncivil War krachtig naar voren komt, is hoe een stabiel land doelbewust uit elkaar wordt getrokken, hoe grote groepen mensen tegen elkaar worden opgezet en een samenleving wordt gedestabiliseerd. Dat dat staat te gebeuren is duidelijk vanaf het moment waarop premier Cameron besluit het democratisch wangedrocht van een referendum in te zetten om de brexiteers in zijn eigen partij uit te schakelen, met rampzalige gevolgen. In handen van gehaaide manipulatoren als Cummings wordt de volksraadpleging een vlijmscherp zwaard dat de Britse samenleving genadeloos doormidden klieft. Vandaag, dinsdag, vliegt premier Theresa May naar Parijs en Berlijn om bij Macron en Merkel aan te dringen op extra tijd om tot een deal te komen. Woensdag is de speciaal ingelaste top van EU-leiders die akkoord moeten gaan met nieuw uitstel. Doen ze dat niet, dan staan de Britten komende vrijdag zonder overeenkomst op",1
ad,"Vechten tot de laatste snik. Provinciale verkiezingen 2019 Vechten tot de laatste snik. Provinciale verkiezingen 2019 De regeringspartijen dreigen bij de Statenverkiezingen een opdoffer te krijgen. In het laatste debat was het zaak de eigen achterban te mobiliseren. Het slotdebat van de verkiezingscampagne was nog niet begonnen of PVV-leider Geert Wilders besloot de aanval te openen op VVD-leider Mark Rutte. Waar alle partijleiders voor het debat allemaal iets mochten zeggen over de aanslag in Utrecht, verweet hij Rutte 'krokodillentranen'. Want deze aanslag was mede het gevolg van zijn open-grenzenbeleid, vindt Wilders. Ook Forum voor Democratie-voorman Thierry Baudet koos de aanval. Het zette de toon voor een debat waarin elke partijleider probeerde nog even snel puntjes te scoren bij de eigen achterban. Waar PVV en FvD begonnen over immigratie, bereden ook anderen hun stokpaardjes. Lilian Marijnissen (SP) begon over de zorg die volgens haar slechter is geworden. Jesse Klaver (GroenLinks) over klimaatbeleid. Rob Jetten (D66) pleitte voor meer Europese samenwerking. En zo kwamen er meer onderwerpen voorbij waar de leden van de Provinciale Staten die vandaag verkozen worden niets over te zeggen hebben. Wel kiezen de statenleden in mei de leden van de Eerste Kamer. Landelijke onderwerpen Ongeveer de helft van de kiezers laat zijn stem bij de Statenverkiezingen bepalen door de landelijke politiek, slechts 15 procent kijkt alleen naar provinciale thema's en voor de rest is het een beetje van allebei, blijkt uit onderzoek van I&O. De Provinciale Statenverkiezingen gaan dan al snel over het beleid van het zittende kabinet. Vrolijk van de prognoses kunnen de regeringspartijen niet worden. De coalitie van VVD, CDA, D66 en ChristenUnie heeft nu de krapst denkbare meerderheid van 38 zetels in de Eerste Kamer. Volgens de laatste Peilingwijzer van 13 maart houden de vier coalitiepartijen daar nog 27 van over. In de Peilingwijzer is",1
trouw,"Democratieles links noch rechts Democratieles links noch rechts Onderwijs We hebben al gehad: de rechtspraak, de wetenschap en de 'gevestigde' media. Allemaal instituten die het fundament vormen van onze democratie en allemaal recentelijk verdacht gemaakt door volksvertegenwoordigers. Inmiddels is er een nieuw slachtoffer: het onderwijs. Een greep uit de uitspraken. ""Wij gaan de invloed van het linkse gedachtengoed in het onderwijs ( ) in kaart brengen"", aldus Thierry Baudet. Onderwijswoordvoerder Harm Beertema van de PVV twittert na een oproep om linkse leerkrachten te filmen: ""Ook in Vlaanderen schaamteloos links-activistische leraren ( ) film linkse leraren! Gooi ze op de social media! Stop de indoctrinatie!"" Inmiddels heeft Forum voor Democratie een meldpunt indoctrinatie op scholen en universiteiten gelanceerd, dat voortborduurt op eerdere initiatieven. Als docent in het voortgezet onderwijs hoor ik in de praktijk vrijwel niet over dit soort beschuldigingen of klachten van leerlingen, ouders of collega's over 'linkse indoctrinatie'. Gevoelige onderwerpen Er is ook geen enkel geldig bewijs dat docenten links gedachtengoed massaal opdringen aan leerlingen. Sterker nog, in 2017 kwam na onderzoek van Dienst Uitvoering Onderwijs Duo aan het licht dat veel politiek gevoelige onderwerpen door docenten juist vermeden worden. Deze verdachtmakingen zijn dus totaal ongefundeerd. Extra schrijnend is dat het meldpunt in het leven is geroepen vlak nadat er weer een duidelijk signaal is afgegeven over de toenemende werkdruk, overvolle klassen en het lage salaris. Daarnaast staan we aan de vooravond van een gigantisch lerarentekort. Dus het versterken van het onderwijs is juist belangrijker dan ooit. Werkelijk iedereen, van links tot rechts, is gebaat bij goed onderwijs. Dit meldpunt bereikt exact het tegenovergestelde. Naast alle problemen waar het onderwijs mee te kampen heeft, wordt nu ook nog eens het vertrouwen in de professionele autonomie van docenten volledig ondermijnd. Om een andere reden is deze aanval op het onderwijs",1
trouw,"Veiligheidsdiensten onder de loep Veiligheidsdiensten onder de loep terrorisme - Nieuw-Zeeland onderzoekt of zijn spionnen hebben gefaald in de aanloop naar de aanslag in 'Christchurch'. Hebben inlichtingendiensten te weinig oog voor rechts-extremisme? Nieuw-Zeeland gaat onderzoeken hoe twee moskeeën in de stad Christchurch het slachtoffer konden worden van een aanslag. Een Koninklijke Commissie van Onderzoek, enigszins te vergelijken met een parlementaire enquête in Nederland, gaat bekijken of de inlichtingendiensten, politie, douane en immigratiedienst steken hebben laten vallen. ""Het is belangrijk dat de onderste steen boven komt"", aldus de Nieuw-Zeelandse premier Jacinda Ardern gisteren. ""We moeten achterhalen hoe deze terreurdaad kon worden gepleegd en wat we mogelijk hadden kunnen doen om deze te voorkomen."" De Nieuw-Zeelandse inlichtingendiensten liggen onder vuur vanwege het gemak waarmee de 28-jarige Australiër Brenton Tarrant het bloedbad kon aanrichten. Want Tarrant was actief in extreem-rechtse kring op internet en oefende met vuurwapens op schietbanen in Australië. Hij reisde ruim van tevoren naar Nieuw-Zeeland, kocht daar vuurwapens en zette twee dagen voor de aanslagen foto's online van de wapens. Daar stonden, met witte pen, de namen van eerdere daders van aanvallen op moslims op geschreven. Ook zette Tarrant zijn haatzaaiende manifest online en verstuurde hij twaalf minuten voor de aanslagen een mail aan media. Desondanks stond Tarrant niet op de radar bij de diensten. ""Een van de vragen waarop we antwoord willen, is of we meer hadden kunnen en moeten weten"", aldus premier Ardern. Elders in het Westen rijzen soortgelijke vragen. Want inlichtingendiensten hebben jarenlang relatief weinig aandacht besteed aan rechtsextremisme. Zaken als radicaal jihadisme en de dreiging vanuit China en Rusland hadden meer prioriteit. Inmiddels maken de diensten weer meer capaciteit vrij om extreemrechts in de gaten te houden. Want gevoed door spanningen over immigratie en islamistische aanslagen groeit de dreiging uit die hoek. Zo schoot een Amerikaanse",1
https://nu.nl/binnenland/6002742/klokkenluider-wodc-affaire-maandenlang-afgetapt-door-rijksrecherche.html,"Klokkenluider Marianne van Ooyen en twee vertrouwenspersonen van het ministerie van Justitie en Veiligheid zijn maandenlang afgeluisterd door de Rijksrecherche, meldt NRC op basis van bronnen.In een interview in de krant spreekt de klokkenluider haar verontwaardiging uit over de afluisteractie. ""Ik had er nooit bij stilgestaan dat ze zo ver zouden gaan"", zegt ze tegenover NRC. ""Dat ze mij zouden afluisteren. Dat is een enorme inbreuk op mijn privacy en voelt heel onveilig.""Van Ooyen, onderzoeker bij het Wetenschappelijk Onderzoek en Documentatiecentrum van het ministerie van Justitie en Veiligheid, trok in 2013 intern aan de bel vanwege misstanden op het ministerie. De wetenschapper beklaagde zich over ambtenaren die het WODC onder druk zetten om kritische noten uit een onderzoek naar het drugsbeleid van toenmalig justitieminister Ivo Opstelten aan te passen.In 2017 lekte de klacht van Van Ooyen aan een vertrouwenspersoon over de bemoeienis uit via Nieuwsuur. Vervolgens stelde het ministerie van Justitie en Veiligheid een onderzoek in naar de uitgelekte informatie.Daaruit bleek dat het ministerie fout zat en te ver is gegaan. De huidige minister Ferd Grapperhaus prees klokkenluider Van Ooyen, maar het ministerie van Justitie en Veiligheid deed tegelijkertijd ook aangifte tegen WODC-medewerkers die mogelijk gelekt zouden hebben.Bronnen melden nu aan NRC dat zowel Van Ooyen als twee vertrouwenspersonen die toentertijd actief waren op het ministerie maandenlang zijn afgeluisterd en gehoord door de Rijksrecherche.""Moet je nagaan. Op het moment dat de minister mij rehabiliteerde, werd ik afgeluisterd. Daarvoor en daarna ook"", zegt Van Ooyen tegen de krant.Ook zegt een van de vertrouwenspersonen verbaasd te zijn dat zij betrokken zijn geraakt bij dit onderzoek ""in plaats van de aandacht te richten op hen die verantwoordelijk zijn voor de integriteitsproblematiek op het WODC"".De Rijksrecherche wil tegenover NU.nl niet reageren op de kwestie.",1
ad,"Lezersbrieven Lezersbrieven DE SPEECH VAN BAUDET | Ik prijs me rijk met mijn wijk en met alle bewoners Ik zit op mijn balkon in de Haagse binnenstad en lees de overwinningsspeech van Baudet nog eens door. Wat een zelfingenomenheid en ziekelijke vorm van eigenliefde. Vanochtend heb ik eerst bij mijn vriendelijke Turkse bakker een broodje gekocht. Daarna liep ik langs de Iraanse kapper om mijn baard te laten trimmen. Voordat ik mijn portiek inging, maakte ik een praatje met mijn Surinaamse buurvrouw die een klein eethuisje runt. Ik prijs mij rijk met de wijk en de bewoners om mij heen met wie ik dagelijks fijn contact heb. Veelal bescheiden en hardwerkende mensen die oprechte interesse tonen in de medemens. Ik maak mij geen zorgen over onze samenleving en stel mij gerust met de gedachte dat Narcissus verdronk in zijn eigen spiegelbeeld. Frans Pas, Den Haag. DE SPEECH VAN BAUDET II | Zijn boodschap is simpel Als alle klassieke verwijzingen en retoriek uit de overwinningsspeech van Baudet (AD 22-3) verdampt zijn, resteert (en daar zal hij zijn stemmen mee getrokken hebben): 'Buitenlanders eruit en geen cent voor het klimaat.' Martin van Raay, Culemborg. DE SPEECH VAN BAUDET III | Hij toont een luchtkasteel Bedankt voor de uitgebreide analyse van de speech van Baudet (AD 22-3). Het is lang geleden dat ik zo'n bevlogen tekst onder ogen kreeg. Helaas laat Baudet ons een luchtkasteel zien. Ik hoop dat zijn collega-volksvertegenwoordigers hem daarop aan zullen spreken. Baudet refereert voortdurend aan de grote beschaving waaruit we voortkomen en die we nu verkwanselen. Hij lijkt daarbij met name op het Europa van de 17de/18de eeuw te doelen, gelet op de muziek, architectuur en schilderkunst die hij aanhaalt. De tijd dat Nederland een wereldmacht was. De Gouden Eeuw. De leiders van dat Europa vormden een kliek",1
trouw,"Ontsnappingsroute vliegveld Lelystad nog vol hobbels Ontsnappingsroute vliegveld Lelystad nog vol hobbels UITSTEL - Nieuwe plannen voor vliegveld Lelystad overtuigen de kritische coalitiepartijen nog steeds niet. De tijd dringt. Een muizengaatje had minister Cora van Nieuwenhuizen (infrastructuur en waterstaat) nodig om een oplossing te vinden voor de verdeling van vluchten tussen Schiphol en Lelystad. Maar niets wijst erop dat zij de ontsnappingsroute heeft gevonden die zowel Brussel als de coalitiepartijen in Den Haag tevredenstelt. Op enkele details na komt Van Nieuwenhuizen namelijk met dezelfde plannen als in januari. Die werden destijds door de Tweede Kamer met veel kritiek ontvangen. Onder druk van de Europese Commissie wil de minister dat er op de nieuwe luchthaven Lelystad ruimte komt voor 'autonome groei': vluchten die niet nu al op Schiphol landen dus. Coalitiepartijen D66 en ChristenUnie willen dat onder geen beding, voor hen mag Lelystad alleen dienen als 'overloopluchthaven' van Schiphol. In hoofdlijnen behelst de nieuwe 'verkeersverdelingsregel' dat de eerste 25.000 starts en landingen op Lelystad worden overgenomen van Schiphol. Vanaf 2030 is er op de luchthaven vervolgens ruimte voor vluchten naar andere bestemmingen en van nieuwe maatschappijen. Risicovluchten In de plannen zijn enkele toezeggingen opgenomen, bedoeld om de Tweede Kamer over de streep te trekken. Zo komt er een anti-misbruikregeling om te voorkomen dat vliegmaatschappijen gaan schuiven met start- en landingsrechten tussen luchthavens. Ook doet de minister toezeggingen over de grenscontroles. Sommige risicovluchten, bijvoorbeeld de vluchten die vaak worden gebruikt voor drugssmokkel, kunnen alleen op Schiphol afgehandeld worden. Dit zal ook in de toekomst zo zijn. Voor Van Nieuwenhuizen is haast geboden. Vliegveld Lelystad moet in april volgend jaar opengaan, een deadline die al twee keer is verschoven. Maar door de onenigheid over de vluchten van en naar het vliegveld, rijzen er steeds meer twijfels of april 2020 wel haalbaar is. Van",1
vk,"Onze cultuur vormt ons gezamenlijk geweten Onze cultuur vormt ons gezamenlijk geweten Toen Freek de Jonge op het Boekenbal zijn stem verhief, viel hem hoon ten deel. Maar wat was eigenlijk de boodschap? Mijn vaders leermeester heette Gerardus van der Leeuw en was namens de PvdA onze eerste naoorlogse minister van Onderwijs, Kunsten en Wetenschappen. Hij stond een actieve cultuurpolitiek voor met volksverheffing als voornaamste oogmerk. Hij was precies een jaar cultuurminister. Zijn idealen werden in de toenmalige verzuilde samenleving als te links en te dwingend ervaren. Mag de politiek zich met de opvoeding van het volk bemoeien? Het ligt voor de hand om te zeggen laat het volk dat vooral lekker zelf uitzoeken. Maar intussen financiert de overheid (de politiek) met ons belastinggeld onderwijs, omroep, musea, orkesten, theatergezelschappen, bibliotheken en muziekscholen. Instellingen die met elkaar het fundament van onze culturele samenleving vormen. Er is een voortdurende spanning tussen links en rechts in welke mate er gemeenschapsgeld naar deze instellingen moet gaan. Al blijft een eeuwige discussie gaande of het niet voornamelijk om vrijetijdsbesteding van een bevoorrechte linkse elite zou gaan, toch wordt aan de diepe zin en het nut ervan, de bestendiging van onze beschaving, niet getwijfeld. Nu is er sinds grofweg 2000 een beweging in opkomst, die geholpen door de nieuwe media, stelt dat deze instellingen met inbegrip van de journalistiek verantwoordelijk zijn voor de deplorabele toestand waarin ons land zou verkeren. Omdat wetenschap, pers en kunst zich daar niet tegen kunnen verweren (slager keurt eigen vlees) is die nieuwe beweging niet langer onder de indruk van feiten en argumenten en crëeert mede dankzij de nieuwe communicatiekanalen zijn eigen werkelijkheid. Het is logisch dat politieke avonturiers zich zijn gaan ontfermen over de mensen die zich niet gehoord en geminacht voelen. Wat gaat er gebeuren als die politici, als",1
eindhovensdagblad,"Britten en Europa: stugge relatie sinds de jaren 50 Britten en Europa: stugge relatie sinds de jaren 50 Wat is dat toch tussen Europa en de Britten? Een blik op de recente geschiedenis leert dat de huidige crisis niet uit de lucht komt vallen. stugge relatie sinds de jaren 50 Nee, dank u wel. Het is eind jaren 50. De vraag is of Groot-Brittannië alstublieft bij de zojuist opgerichte Europese Economische Gemeenschap wil komen. Daar zitten dan al zes landen bij (Duitsland, Frankrijk, Italië en de Benelux) die eerder verenigd waren in de Europese Gemeenschap voor Kolen en Staal, maar deze samenwerking verder willen verdiepen, op naar een écht verenigd Europa, zonder oorlog. En ze willen heel graag dat die andere grote jongen uit de buurt ook meedoet. Maar helaas, die heeft daar geen zin. Zelfs toen Winston Churchill vlak na de Tweede Wereldoorlog probeerde om zijn landgenoten warm te maken voor een Verenigde Staten van Europa, kreeg hij daar de handen niet voor op elkaar. ,,Het was alsof hij in het openbaar een scheet had gelaten"", herinnert een politicus uit die tijd zich. Een paar jaar later, het is begin jaren 60, krijgt de dan zittende Britse premier Harold Macmillan in de gaten dat het zijn land wel eens heel veel geld kan gaan kosten als het blijft weigeren zich aan te sluiten bij de EEG. De zes gaan steeds meer samenwerken, de Britten worden steeds meer buitengesloten. Nu zijn het de eilanders die toenadering zoeken. Althans, een deel van hen. De Labourpartij, dan in de oppositie, spreekt er schande van. Hoezo willen wij bij Europa horen? Dat willen wij helemaal niet, zegt Labour-leider Hugh Gaitskell. ,,Wij hebben een andere geschiedenis. Wij zijn met Europa verbonden, maar nog veel meer met de rest van de wereld. Dit wordt het",1
